,text_length,reply_count,like_count
0,28,0,0
1,9,0,0
2,39,0,1
3,153,0,0
4,55,0,0
5,15,0,0
6,23,0,2
7,3,0,0
8,12,0,1
9,60,0,1
10,36,0,0
11,37,0,0
12,96,0,1
13,42,0,1
14,45,0,1
15,155,0,0
16,86,0,0
17,1,0,0
18,13,0,0
19,14,0,0
20,29,0,0
21,41,0,1
22,49,0,0
23,1,0,0
24,32,0,0
25,38,0,0
26,1,0,0
27,25,0,0
28,43,0,1
29,18,1,3
30,61,0,1
31,14,0,0
32,88,0,0
33,74,0,1
34,114,0,0
35,58,1,1
36,24,0,1
37,22,0,0
38,28,0,0
39,124,0,0
40,2,0,0
41,10,0,1
42,57,1,3
43,13,0,0
44,80,0,0
45,38,0,1
46,21,0,1
47,4,0,1
48,40,0,2
49,5,0,1
50,29,0,1
51,45,0,1
52,39,1,2
53,120,0,1
54,105,0,1
55,121,0,1
56,16,0,2
57,42,1,1
58,11,0,1
59,20,0,2
60,22,0,2
61,88,0,3
62,44,0,4
63,6,0,2
64,16,0,2
65,103,1,2
66,45,0,2
67,34,0,2
68,6,0,2
69,61,0,2
70,140,3,2
71,147,0,2
72,29,2,3
73,1,0,1
74,61,0,1
75,4,0,0
76,83,0,2
77,74,0,1
78,9,2,1
79,41,0,2
80,41,0,1
81,18,0,1
82,23,0,0
83,64,0,0
84,21,0,0
85,68,0,0
86,21,0,0
87,38,1,0
88,46,0,0
89,2,0,0
90,2,0,0
91,2,0,0
92,45,0,0
93,14,0,1
94,43,0,1
95,14,0,1
96,18,0,1
97,44,0,2
98,47,1,7
99,14,0,1
100,2,0,0
101,18,0,1
102,11,1,2
103,13,0,0
104,124,0,0
105,12,0,0
106,14,0,0
107,26,0,0
108,11,0,0
109,55,0,0
110,2,0,0
111,89,0,0
112,60,0,1
113,30,0,0
114,14,0,1
115,150,0,1
116,20,0,1
117,14,0,0
118,72,0,0
119,3,0,0
120,4,0,0
121,48,0,1
122,8,0,0
123,61,0,0
124,86,0,1
125,17,0,0
126,132,0,1
127,128,0,2
128,2,0,0
129,17,0,1
130,2,0,0
131,83,0,0
132,17,0,0
133,2,0,0
134,4,0,0
135,20,0,1
136,16,0,0
137,15,0,1
138,88,0,0
139,1,0,0
140,25,0,0
141,7,0,0
142,12,0,0
143,1,0,0
144,11,0,0
145,24,0,1
146,26,1,2
147,8,0,0
148,51,0,5
149,29,0,0
150,29,0,1
151,87,0,2
152,18,0,0
153,2,0,0
154,30,0,3
155,55,0,3
156,6,0,0
157,2,0,0
158,204,0,0
159,62,0,0
160,2,0,0
161,2,0,0
162,2,0,1
163,19,0,0
164,5,1,0
165,39,0,1
166,123,0,1
167,114,0,0
168,25,0,2
169,15,0,0
170,82,0,0
171,24,0,1
172,321,3,19
173,7,0,0
174,33,0,0
175,58,1,1
176,71,0,0
177,53,0,1
178,50,0,0
179,3,0,0
180,192,1,0
181,21,0,1
182,264,0,0
183,25,0,1
184,1,0,0
185,114,0,1
186,17,0,0
187,16,0,0
188,42,1,1
189,25,0,0
190,70,0,0
191,18,0,0
192,64,0,0
193,36,0,1
194,49,0,0
195,10,1,0
196,33,0,0
197,19,0,2
198,52,0,24
199,34,0,0
200,111,0,0
201,41,0,0
202,32,0,0
203,85,0,0
204,27,0,1
205,15,0,0
206,18,0,1
207,41,0,0
208,26,0,0
209,41,0,0
210,39,0,0
211,27,0,1
212,3,0,0
213,56,0,0
214,31,0,0
215,72,0,0
216,80,1,2
217,3,0,0
218,74,0,1
219,32,0,0
